,radiant_win,radiant_1,radiant_2,radiant_3,radiant_4,radiant_5,dire_1,dire_2,dire_3,dire_4,dire_5
0,1,14,74,99,67,87,114,4,22,39,27
1,0,107,49,99,48,27,37,47,4,23,95
2,1,30,54,84,97,61,68,10,55,104,86
3,0,48,97,68,90,85,34,23,4,53,14
4,1,32,91,120,54,39,44,14,74,99,5
5,0,42,31,102,25,6,56,69,62,8,27
6,1,14,86,12,23,53,37,11,102,1,101
7,1,87,14,10,25,41,12,91,34,69,21
8,1,101,2,17,81,64,21,34,86,26,42
9,1,11,22,40,104,77,110,21,69,106,114
10,0,98,48,14,82,87,6,85,33,84,2
11,0,22,69,101,75,41,51,26,37,10,35
12,1,1,110,86,25,120,7,16,34,21,95
13,0,14,44,28,76,27,120,9,89,64,48
14,0,21,99,93,37,47,109,31,78,46,79
15,0,44,71,22,14,112,74,41,64,8,79
16,1,1,5,21,64,74,40,14,22,9,12
17,1,18,62,1,97,29,100,10,112,65,76
18,1,23,37,2,56,21,113,119,84,57,10
19,1,108,35,106,89,119,23,28,12,90,17
20,0,5,17,110,30,41,101,1,84,21,2
21,1,32,8,119,34,22,23,2,100,56,52
22,1,56,9,33,93,14,25,119,89,10,69
23,1,96,67,37,59,26,93,110,22,60,87
24,0,26,36,14,25,8,11,70,27,2,60
25,1,25,7,42,93,91,104,87,72,14,11
26,1,30,69,113,105,101,3,95,31,25,21
27,0,71,93,91,44,17,95,26,11,110,63
28,1,101,105,39,82,44,2,14,86,17,67
29,1,11,99,87,2,1,3,75,93,53,76
30,1,68,60,44,22,51,101,53,48,108,107
31,1,48,10,5,69,91,2,41,101,110,11
32,1,23,102,68,87,106,2,56,111,74,14
33,0,39,10,87,25,14,21,74,72,40,32
34,0,4,97,47,37,44,48,90,41,101,75
35,0,63,2,11,18,27,67,21,56,28,71
36,0,99,86,10,14,74,48,16,27,39,64
37,0,75,7,26,93,17,107,99,87,59,9
38,1,48,89,41,87,74,63,112,34,62,72
39,0,29,114,92,82,105,37,8,106,22,85
40,0,101,25,69,77,87,62,37,36,35,10
41,0,101,54,9,70,64,35,44,99,119,75
42,0,106,75,108,64,47,8,101,30,2,22
43,0,86,11,16,97,1,31,74,102,8,103
44,1,15,71,27,11,40,47,64,89,84,95
45,1,26,39,40,8,60,101,86,51,67,23
46,1,9,64,14,21,1,41,52,89,35,119
47,1,22,8,32,27,69,30,89,104,25,42
48,0,48,11,38,101,4,21,34,5,93,86
49,0,32,77,69,23,98,119,56,21,41,99
50,0,57,18,75,74,41,14,95,99,100,23
51,1,17,71,7,87,44,74,14,27,54,26
52,0,27,67,74,90,99,104,62,10,34,30
53,1,50,94,32,106,66,8,105,11,14,60
54,0,110,101,67,14,9,2,23,90,3,93
55,1,104,61,111,82,42,110,48,73,21,22
56,0,99,22,101,37,67,70,38,47,14,30
57,1,10,119,31,110,34,17,14,67,27,21
58,0,21,47,101,64,54,79,67,9,22,14
59,0,9,42,86,82,69,48,71,53,101,47
60,0,22,86,51,95,7,12,14,110,25,37
61,0,69,60,46,86,8,14,16,114,34,53
62,0,110,48,36,16,112,25,14,86,92,72
63,0,27,4,120,25,110,37,51,9,95,47
64,0,106,67,111,13,88,19,16,91,74,77
65,1,14,67,3,16,56,8,21,44,106,110
66,0,44,69,12,86,21,74,31,9,41,2
67,0,99,90,49,26,8,40,74,88,20,41
68,1,4,48,108,32,91,44,99,14,76,87
69,0,1,11,3,57,16,84,5,120,34,48
70,0,11,88,86,120,42,101,14,47,27,8
71,0,100,52,21,74,76,92,8,14,99,23
72,0,96,111,11,8,91,9,21,6,101,32
73,1,32,17,9,54,3,48,25,71,37,120
74,1,31,39,20,11,10,92,2,30,76,60
75,0,70,68,26,25,9,102,82,59,27,52
76,0,38,12,14,106,64,93,69,107,7,94
77,1,21,56,101,120,41,62,14,93,19,39
78,0,68,114,119,89,33,11,48,84,86,96
79,1,44,74,120,101,7,100,21,9,72,89
